1)swap count : 0, And comparison : 0
2)swap count : 4, And comparison : 2
3)swap count : 10, And comparison : 5
4)swap count : 16, And comparison : 8
5)swap count : 24, And comparison : 12
6)swap count : 32, And comparison : 16
7)swap count : 40, And comparison : 20
8)swap count : 48, And comparison : 24
9)swap count : 58, And comparison : 29
10)swap count : 68, And comparison : 34
11)swap count : 78, And comparison : 39
12)swap count : 88, And comparison : 44
13)swap count : 98, And comparison : 49
14)swap count : 108, And comparison : 54
15)swap count : 118, And comparison : 59
16)swap count : 128, And comparison : 64
17)swap count : 140, And comparison : 70
18)swap count : 152, And comparison : 76
19)swap count : 164, And comparison : 82
20)swap count : 176, And comparison : 88
21)swap count : 188, And comparison : 94
22)swap count : 200, And comparison : 100
23)swap count : 212, And comparison : 106
24)swap count : 224, And comparison : 112
25)swap count : 236, And comparison : 118
26)swap count : 248, And comparison : 124
27)swap count : 260, And comparison : 130
28)swap count : 272, And comparison : 136
29)swap count : 284, And comparison : 142
30)swap count : 296, And comparison : 148
31)swap count : 308, And comparison : 154
32)swap count : 320, And comparison : 160
33)swap count : 334, And comparison : 167
34)swap count : 348, And comparison : 174
35)swap count : 362, And comparison : 181
36)swap count : 376, And comparison : 188
37)swap count : 390, And comparison : 195
38)swap count : 404, And comparison : 202
39)swap count : 418, And comparison : 209
40)swap count : 432, And comparison : 216
41)swap count : 446, And comparison : 223
42)swap count : 460, And comparison : 230
43)swap count : 474, And comparison : 237
44)swap count : 488, And comparison : 244
45)swap count : 502, And comparison : 251
46)swap count : 516, And comparison : 258
47)swap count : 530, And comparison : 265
48)swap count : 544, And comparison : 272
49)swap count : 558, And comparison : 279
50)swap count : 572, And comparison : 286
51)swap count : 586, And comparison : 293
52)swap count : 600, And comparison : 300
53)swap count : 614, And comparison : 307
54)swap count : 628, And comparison : 314
55)swap count : 642, And comparison : 321
56)swap count : 656, And comparison : 328
57)swap count : 670, And comparison : 335
58)swap count : 684, And comparison : 342
59)swap count : 698, And comparison : 349
60)swap count : 712, And comparison : 356
61)swap count : 726, And comparison : 363
62)swap count : 740, And comparison : 370
63)swap count : 754, And comparison : 377
64)swap count : 768, And comparison : 384
65)swap count : 784, And comparison : 392
66)swap count : 800, And comparison : 400
67)swap count : 816, And comparison : 408
68)swap count : 832, And comparison : 416
69)swap count : 848, And comparison : 424
70)swap count : 864, And comparison : 432
71)swap count : 880, And comparison : 440
72)swap count : 896, And comparison : 448
73)swap count : 912, And comparison : 456
74)swap count : 928, And comparison : 464
75)swap count : 944, And comparison : 472
76)swap count : 960, And comparison : 480
77)swap count : 976, And comparison : 488
78)swap count : 992, And comparison : 496
79)swap count : 1008, And comparison : 504
80)swap count : 1024, And comparison : 512
81)swap count : 1040, And comparison : 520
82)swap count : 1056, And comparison : 528
83)swap count : 1072, And comparison : 536
84)swap count : 1088, And comparison : 544
85)swap count : 1104, And comparison : 552
86)swap count : 1120, And comparison : 560
87)swap count : 1136, And comparison : 568
88)swap count : 1152, And comparison : 576
89)swap count : 1168, And comparison : 584
90)swap count : 1184, And comparison : 592
91)swap count : 1200, And comparison : 600
92)swap count : 1216, And comparison : 608
93)swap count : 1232, And comparison : 616
94)swap count : 1248, And comparison : 624
95)swap count : 1264, And comparison : 632
96)swap count : 1280, And comparison : 640
97)swap count : 1296, And comparison : 648
98)swap count : 1312, And comparison : 656
99)swap count : 1328, And comparison : 664
100)swap count : 1344, And comparison : 672
101)swap count : 1360, And comparison : 680
102)swap count : 1376, And comparison : 688
103)swap count : 1392, And comparison : 696
104)swap count : 1408, And comparison : 704
105)swap count : 1424, And comparison : 712
106)swap count : 1440, And comparison : 720
107)swap count : 1456, And comparison : 728
108)swap count : 1472, And comparison : 736
109)swap count : 1488, And comparison : 744
110)swap count : 1504, And comparison : 752
111)swap count : 1520, And comparison : 760
112)swap count : 1536, And comparison : 768
113)swap count : 1552, And comparison : 776
114)swap count : 1568, And comparison : 784
115)swap count : 1584, And comparison : 792
116)swap count : 1600, And comparison : 800
117)swap count : 1616, And comparison : 808
118)swap count : 1632, And comparison : 816
119)swap count : 1648, And comparison : 824
120)swap count : 1664, And comparison : 832
121)swap count : 1680, And comparison : 840
122)swap count : 1696, And comparison : 848
123)swap count : 1712, And comparison : 856
124)swap count : 1728, And comparison : 864
125)swap count : 1744, And comparison : 872
126)swap count : 1760, And comparison : 880
127)swap count : 1776, And comparison : 888
128)swap count : 1792, And comparison : 896
129)swap count : 1810, And comparison : 905
130)swap count : 1828, And comparison : 914
131)swap count : 1846, And comparison : 923
132)swap count : 1864, And comparison : 932
133)swap count : 1882, And comparison : 941
134)swap count : 1900, And comparison : 950
135)swap count : 1918, And comparison : 959
136)swap count : 1936, And comparison : 968
137)swap count : 1954, And comparison : 977
138)swap count : 1972, And comparison : 986
139)swap count : 1990, And comparison : 995
140)swap count : 2008, And comparison : 1004
141)swap count : 2026, And comparison : 1013
142)swap count : 2044, And comparison : 1022
143)swap count : 2062, And comparison : 1031
144)swap count : 2080, And comparison : 1040
145)swap count : 2098, And comparison : 1049
146)swap count : 2116, And comparison : 1058
147)swap count : 2134, And comparison : 1067
148)swap count : 2152, And comparison : 1076
149)swap count : 2170, And comparison : 1085
150)swap count : 2188, And comparison : 1094
151)swap count : 2206, And comparison : 1103
152)swap count : 2224, And comparison : 1112
153)swap count : 2242, And comparison : 1121
154)swap count : 2260, And comparison : 1130
155)swap count : 2278, And comparison : 1139
156)swap count : 2296, And comparison : 1148
157)swap count : 2314, And comparison : 1157
158)swap count : 2332, And comparison : 1166
159)swap count : 2350, And comparison : 1175
160)swap count : 2368, And comparison : 1184
161)swap count : 2386, And comparison : 1193
162)swap count : 2404, And comparison : 1202
163)swap count : 2422, And comparison : 1211
164)swap count : 2440, And comparison : 1220
165)swap count : 2458, And comparison : 1229
166)swap count : 2476, And comparison : 1238
167)swap count : 2494, And comparison : 1247
168)swap count : 2512, And comparison : 1256
169)swap count : 2530, And comparison : 1265
170)swap count : 2548, And comparison : 1274
171)swap count : 2566, And comparison : 1283
172)swap count : 2584, And comparison : 1292
